"Id","probability"
1,0.22
2,0.14
3,0.04
4,0.37
5,0.33
6,0.09
7,0.24
8,0.16
9,0
10,0.66
11,0.01
12,0.06
13,0.01
14,0.16
15,0.2
16,0.03
17,0.08
18,0.04
19,0.69
20,0.23
21,0.02
22,0.06
23,0.02
24,0.88
25,0.22
26,0.02
27,0.4
28,0.01
29,0.18
30,0.11
31,0.13
32,0.01
33,0.02
34,0.17
35,0.7
36,0.2
37,0.08
38,0.05
39,0.01
40,0.31
41,0.61
42,0.82
43,0.21
44,0
45,0.33
46,0
47,0
48,0.04
49,0.05
50,0.1
51,0.08
52,0.07
53,0.01
54,0.12
55,0.03
56,0.36
57,0.02
58,0.5
59,0.31
60,0.37
61,0.11
62,0.02
63,0.06
64,0.05
65,0.06
66,0.05
67,0.05
68,0.74
69,0.01
70,0.71
71,0.02
72,0.24
73,0.02
74,0.77
75,0.04
76,0.18
77,0.35
78,0.21
79,0.12
80,0.04
81,0.02
82,0.03
83,0.14
84,0.03
85,0.07
86,0.04
87,0.14
88,0.01
89,0.04
90,0.06
91,0.29
92,0.04
93,0.07
94,0.05
95,0.02
96,0.45
97,0.11
98,0.27
99,0.03
100,0.02
101,0.1
102,0.39
103,0
104,0.24
105,0.39
106,0.06
107,0.82
108,0.07
109,0.01
110,0.04
111,0.08
112,0.18
113,0.09
114,0.92
115,0.27
116,0.05
117,0
118,0.18
119,0.03
120,0.01
121,0.02
122,0.29
123,0.05
124,0.75
125,0.01
126,0.08
127,0.03
128,0.02
129,0
130,0.15
131,0.13
132,0.36
133,0.01
134,0.48
135,0.58
136,0.03
137,0.68
138,0.2
139,0.01
140,0.03
141,0.01
142,0.03
143,0.01
144,0.02
145,0.84
146,0.02
147,0.01
148,0.43
149,0.01
150,0.18
151,0
152,0.04
153,0.03
154,0.01
155,0.04
156,0.06
157,0.27
158,0
159,0.15
160,0.05
161,0
162,0.05
163,0.01
164,0.19
165,0.05
166,0.04
167,0.91
168,0.02
169,0.58
170,0.03
171,0.01
172,0.06
173,0.01
174,0.17
175,0.06
176,0.77
177,0.09
178,0.36
179,0.05
180,0.04
181,0.18
182,0.02
183,0.02
184,0.05
185,0.26
186,0.02
187,0.02
188,0.09
189,0.14
190,0.06
191,0.02
192,0.13
193,0.05
194,0.22
195,0.02
196,0.08
197,0.03
198,0.04
199,0.01
200,0.03
201,0.27
202,0.08
203,0.75
204,0.15
205,0.09
206,0.01
207,0.14
208,0.01
209,0.27
210,0.01
211,0.7
212,0.03
213,0.11
214,0.02
215,0.01
216,0.25
217,0.02
218,0.37
219,0.01
220,0
221,0.03
222,0.04
223,0.08
224,0.01
225,0.03
226,0.23
227,0.01
228,0.21
229,0.41
230,0.68
231,0.67
232,0.04
233,0.04
234,0.04
235,0
236,0.75
237,0.14
238,0
239,0.02
240,0.07
241,0.15
242,0.03
243,0.01
244,0.05
245,0.15
246,0.03
247,0.15
248,0.02
249,0.04
250,0.85
251,0.04
252,0.67
253,0
254,0.29
255,0.01
256,0
257,0.15
258,0.5
259,0.27
260,0.44
261,0.01
262,0.05
263,0.01
264,0.11
265,0.2
266,0.01
267,0.27
268,0.13
269,0.65
270,0.02
271,0.06
272,0.17
273,0.02
274,0.03
275,0.04
276,0.04
277,0.05
278,0.02
279,0.21
280,0.01
281,0.94
282,0.2
283,0.31
284,0.15
285,0.03
286,0
287,0.04
288,0.24
289,0.25
290,0.26
291,0.71
292,0.03
293,0.06
294,0.01
295,0.01
296,0.07
297,0.03
298,0.09
299,0
300,0.01
301,0.4
302,0.01
303,0.06
304,0.08
305,0.85
306,0.2
307,0.01
308,0.66
309,0.78
310,0.01
311,0.9
312,0.06
313,0.7
314,0.16
315,0.17
316,0.19
317,0.78
318,0.03
319,0.03
320,0.26
321,0.18
322,0.02
323,0.04
324,0.04
325,0.37
326,0.03
327,0.09
328,0.06
329,0.07
330,0
331,0.02
332,0.04
333,0.05
334,0.12
335,0.44
336,0.18
337,0.02
338,0.76
339,0.16
340,0.03
341,0
342,0.13
343,0.05
344,0.09
345,0.11
346,0.1
347,0.69
348,0.44
349,0.05
350,0.02
351,0.33
352,0.16
353,0
354,0.3
355,0.03
356,0.01
357,0.83
358,0
359,0.09
360,0.75
361,0.02
362,0.03
363,0
364,0.04
365,0.65
366,0.4
367,0.07
368,0.27
369,0.04
370,0.76
371,0.01
372,0.37
373,0.02
374,0.03
375,0.08
376,0.03
377,0.17
378,0.03
379,0.04
380,0.05
381,0.01
382,0.08
383,0.12
384,0.5
385,0.02
386,0.02
387,0
388,0.11
389,0.09
390,0.05
391,0.01
392,0.01
393,0.04
394,0.27
395,0.06
396,0.01
397,0.23
398,0.26
399,0.05
400,0.09
401,0.03
402,0
403,0.07
404,0
405,0.9
406,0.88
407,0.09
408,0.4
409,0.09
410,0.03
411,0.11
412,0.11
413,0.29
414,0.03
415,0.01
416,0.53
417,0.36
418,0.09
419,0.02
420,0.02
421,0.06
422,0.02
423,0.12
424,0.02
425,0.02
426,0.01
427,0.08
428,0.03
429,0.33
430,0.02
431,0.78
432,0
433,0.02
434,0.01
435,0.14
436,0.12
437,0.07
438,0.22
439,0.01
440,0.09
441,0.04
442,0.11
443,0.16
444,0.03
445,0.17
446,0.55
447,0.1
448,0.34
449,0.26
450,0
451,0.12
452,0
453,0.25
454,0.02
455,0.23
456,0.03
457,0.14
458,0.02
459,0.24
460,0.04
461,0.04
462,0.26
463,0.04
464,0.26
465,0.2
466,0.01
467,0.01
468,0.05
469,0.01
470,0.71
471,0
472,0.01
473,0.64
474,0.21
475,0.04
476,0.04
477,0.05
478,0.03
479,0.22
480,0.03
481,0.28
482,0
483,0.23
484,0.15
485,0
486,0.78
487,0.2
488,0.23
489,0.5
490,0.19
491,0.02
492,0.07
493,0.84
494,0.01
495,0.67
496,0.08
497,0.01
498,0.01
499,0.37
500,0.03
501,0.05
502,0.06
503,0.06
504,0.03
505,0.01
506,0.49
507,0.14
508,0
509,0.01
510,0.08
511,0.04
512,0.5
513,0.06
514,0.08
515,0.03
516,0.82
517,0.02
518,0.07
519,0
520,0.05
521,0.04
522,0.02
523,0.36
524,0.17
525,0.17
526,0.78
527,0.21
528,0.01
529,0.57
530,0.07
531,0.01
532,0.03
533,0.03
534,0.02
535,0.05
536,0.01
537,0.05
538,0.18
539,0.06
540,0.05
541,0.14
542,0.09
543,0.23
544,0.31
545,0.03
546,0.07
547,0.29
548,0.12
549,0
550,0.33
551,0.68
552,0.33
553,0.07
554,0
555,0.39
556,0.13
557,0.06
558,0.12
559,0.45
560,0.13
561,0
562,0.08
563,0.38
564,0.15
565,0.21
566,0.03
567,0.02
568,0.07
569,0.78
570,0.17
571,0.64
572,0.09
573,0.05
574,0.23
575,0.25
576,0
577,0.24
578,0.01
579,0.48
580,0.02
581,0.03
582,0.02
583,0.01
584,0.08
585,0.04
586,0.03
587,0.05
588,0.36
589,0.04
590,0.06
591,0.8
592,0.02
593,0.02
594,0.06
595,0.48
596,0.18
597,0
598,0.13
599,0.11
600,0.02
601,0.01
602,0.25
